,area,n_soceco,per_x_hog,educ,afil_sisprev,sprev_salud,activ
197,1,2,6,4,1,0,0
198,0,1,3,5,1,0,1
199,1,4,2,1,1,0,1
200,1,5,3,2,0,0,0
201,0,0,4,9,1,0,1
202,1,2,6,5,0,0,0
203,1,3,3,2,1,0,0
204,1,2,3,4,0,0,0
205,1,4,3,9,1,0,1
206,0,3,3,5,0,0,2
207,1,1,2,11,0,0,1
208,1,3,2,6,1,1,1
209,1,0,4,10,1,0,0
210,1,4,4,1,0,0,0
211,1,4,1,1,3,2,1
212,1,2,1,5,0,0,1
213,1,2,4,8,1,0,0
214,0,5,2,0,0,0,0
215,1,2,4,5,1,0,0
216,1,0,1,8,1,0,1
217,1,4,5,2,1,3,1
218,1,4,2,9,1,0,1
219,1,4,2,10,1,0,0
220,1,3,5,2,1,0,1
221,1,2,2,4,1,0,0
222,1,2,3,1,1,0,1
223,1,2,1,2,1,0,1
224,1,2,7,2,1,0,1
225,0,0,4,9,1,0,0
226,1,0,1,5,1,0,1
227,1,2,4,8,1,0,0
228,1,3,3,10,0,0,1
229,0,0,2,0,1,0,1
230,1,2,2,4,1,0,1
231,1,4,1,9,1,0,1
232,1,3,4,6,1,0,1
233,1,3,2,10,1,0,0
234,1,0,3,4,0,0,1
235,1,1,5,2,1,0,1
236,1,3,5,7,0,0,2
237,1,2,5,2,1,0,0
238,0,0,2,4,0,0,0
239,1,2,5,5,0,0,1
240,1,1,4,2,0,0,0
241,1,1,4,2,1,0,2
242,0,1,3,4,1,0,0
243,0,1,4,8,0,0,1
244,1,4,1,4,0,0,0
245,1,5,6,2,1,0,1
246,1,4,4,10,1,1,0
247,1,2,6,2,0,0,1
248,1,4,4,8,1,1,1
249,1,2,4,10,1,0,0
250,1,3,4,4,1,0,1
251,0,0,4,5,1,0,2
252,0,5,2,4,0,0,0
253,1,1,2,8,1,0,1
254,1,1,3,10,1,0,0
255,1,5,3,2,0,0,1
256,1,4,4,0,1,0,0
257,1,3,4,10,1,1,1
258,1,2,9,2,0,0,2
259,1,3,4,1,1,0,1
260,1,1,4,8,0,0,0
261,1,2,2,5,0,0,0
262,1,0,3,7,1,0,0
263,0,0,5,0,1,0,0
264,1,4,4,2,1,0,0
265,0,0,2,0,0,0,0
266,1,4,5,10,0,0,0
267,1,2,2,2,0,0,0
268,1,4,5,9,1,0,1
269,1,2,6,2,2,0,1
270,1,4,4,2,1,0,1
271,1,5,6,9,1,1,1
272,1,3,1,8,0,1,1
273,0,0,1,0,1,0,0
274,1,4,3,6,1,1,0
275,0,0,3,6,1,0,0
276,0,0,4,2,0,0,2
277,1,2,4,0,1,3,1
278,1,2,4,4,1,0,0
279,1,1,2,12,1,0,1
280,1,4,6,7,1,0,0
281,0,1,4,2,1,0,1
282,0,0,4,0,1,0,0
283,1,0,4,2,1,0,0
284,1,2,5,9,1,1,1
285,0,0,1,2,0,0,0
286,1,2,1,5,1,0,0
287,1,3,3,10,1,0,0
288,1,1,2,8,0,0,0
289,0,1,5,4,1,0,1
290,0,3,1,0,1,0,1
291,0,0,2,1,0,0,0
292,1,3,5,2,0,0,0
293,1,2,5,1,1,0,1
294,0,0,3,0,1,0,1
295,0,1,3,9,0,0,1
296,1,2,1,1,1,0,0
297,1,2,1,2,1,0,1
298,1,0,4,5,0,0,1
299,0,0,4,0,0,0,0
300,1,3,5,0,0,0,1
301,1,3,6,4,0,0,0
302,1,0,5,0,0,0,0
303,1,0,2,8,0,1,0
